clean_month,clean_hour,dimanche_ouvert,p_w_m2_mean,p_w_m2_std,p_w_m2_q20_norm,p_w_m2_q80_norm
Avril 2022,Lundi 12h,0,68.54072228782063,28.9102113154645,46.057390937775835,94.41002910036839
Avril 2022,Lundi 13h,1,68.29185089971273,28.610697956923214,46.058366292515736,93.90189187797613
Avril 2022,Lundi 13h,0,68.29185089971273,28.610697956923214,46.058366292515736,93.90189187797613
Avril 2022,Lundi 14h,1,68.29044076341626,28.00824406671195,46.57781751354293,93.38844644746746
Avril 2022,Lundi 14h,0,68.29044076341626,28.00824406671195,46.57781751354293,93.38844644746746
Avril 2022,Lundi 15h,1,67.9486579270418,27.181622345025403,46.93823900390645,92.33766191968644
Avril 2022,Lundi 15h,0,67.9486579270418,27.181622345025403,46.93823900390645,92.33766191968644
Avril 2022,Lundi 16h,1,67.89104281986721,26.09241199659595,47.820298800157985,91.35326545528561
Avril 2022,Lundi 16h,0,67.89104281986721,26.09241199659595,47.820298800157985,91.35326545528561
Avril 2022,Lundi 17h,1,67.70000657288493,24.74740588710478,48.78521818339056,90.01552497230342
Avril 2022,Lundi 17h,0,67.70000657288493,24.74740588710478,48.78521818339056,90.01552497230342
Avril 2022,Lundi 18h,1,59.49473315055578,23.12565295553687,41.68124281228596,80.27642122878927
Avril 2022,Lundi 18h,0,59.49473315055578,23.12565295553687,41.68124281228596,80.27642122878927
Avril 2022,Lundi 19h,1,45.01647929706277,17.580621719502762,31.46647694254741,60.81113594906603
Avril 2022,Lundi 19h,0,45.01647929706277,17.580621719502762,31.46647694254741,60.81113594906603
Avril 2022,Lundi 20h,1,41.23757224966089,14.93141187406697,29.839611714903377,54.70910305179374
Avril 2022,Lundi 20h,0,41.23757224966089,14.93141187406697,29.839611714903377,54.70910305179374
Avril 2022,Lundi 21h,1,40.178187147557765,14.469101985557412,29.14110759581778,53.236730941095665
Avril 2022,Lundi 21h,0,40.178187147557765,14.469101985557412,29.14110759581778,53.236730941095665
Avril 2022,Lundi 22h,1,39.91318593971593,14.528024532229713,28.815439126834132,53.016782686221
Avril 2022,Lundi 22h,0,39.91318593971593,14.528024532229713,28.815439126834132,53.016782686221
Avril 2022,Lundi 23h,1,40.02860677428791,14.81610575762473,28.686003319273212,53.37922367096477
Avril 2022,Lundi 23h,0,40.02860677428791,14.81610575762473,28.686003319273212,53.37922367096477
Avril 2022,Mardi 0h,1,41.04706464060435,15.21865041016687,29.393755210080087,54.75909989611635
Avril 2022,Mardi 0h,0,41.04706464060435,15.21865041016687,29.393755210080087,54.75909989611635
Avril 2022,Mardi 1h,1,43.09967464679085,16.58301875814829,30.3419470500281,58.01015961565046
Avril 2022,Mardi 1h,0,43.09967464679085,16.58301875814829,30.3419470500281,58.01015961565046
Avril 2022,Mardi 2h,1,49.90402473578546,19.076740828412134,35.239665793706386,67.06284453609734
Avril 2022,Mardi 2h,0,49.90402473578546,19.076740828412134,35.239665793706386,67.06284453609734
Avril 2022,Mardi 3h,1,63.336047203627025,21.700183607945736,46.89598432639125,82.97908931550046
Avril 2022,Mardi 3h,0,63.336047203627025,21.700183607945736,46.89598432639125,82.97908931550046
Avril 2022,Mardi 4h,1,75.21104985672393,23.04002331163906,58.04804466797032,96.21789965010318
Avril 2022,Mardi 4h,0,75.21104985672393,23.04002331163906,58.04804466797032,96.21789965010318
Avril 2022,Mardi 5h,1,77.43630019447295,23.927832153606296,59.58726718889185,99.23985798554807
Avril 2022,Mardi 5h,0,77.43630019447295,23.927832153606296,59.58726718889185,99.23985798554807
Avril 2022,Mardi 6h,1,77.72359568206014,24.48340518238054,59.40472270229923,100.00476560587629
Avril 2022,Mardi 6h,0,77.72359568206014,24.48340518238054,59.40472270229923,100.00476560587629
Avril 2022,Mardi 7h,1,83.79141694091649,25.54789848354897,64.77468389932164,107.0922980357507
Avril 2022,Mardi 7h,0,83.79141694091649,25.54789848354897,64.77468389932164,107.0922980357507
Avril 2022,Mardi 8h,1,83.41319313423814,26.739876106227157,63.35194147856529,107.71993234702241
Avril 2022,Mardi 8h,0,83.41319313423814,26.739876106227157,63.35194147856529,107.71993234702241
Avril 2022,Mardi 9h,1,81.37056344305354,27.44794015744871,60.622162790255494,106.24034395954791
Avril 2022,Mardi 9h,0,81.37056344305354,27.44794015744871,60.622162790255494,106.24034395954791
Avril 2022,Mardi 10h,1,79.09823368908474,26.862589523322836,58.77261291434028,103.4274644147543
Avril 2022,Mardi 10h,0,79.09823368908474,26.862589523322836,58.77261291434028,103.4274644147543
Avril 2022,Mardi 11h,1,76.91889312481612,26.43483379416934,56.883198118303866,100.8432723288394
Avril 2022,Mardi 11h,0,76.91889312481612,26.43483379416934,56.883198118303866,100.8432723288394
Avril 2022,Mardi 12h,1,76.23490212660984,26.06421411849356,56.49457671744461,99.83133563379334
