code,p_w_m2_ete_jour,p_w_m2_ete_nuit,p_w_m2_hiver_jour,p_w_m2_hiver_nuit,p_w_m2_intersaison_jour,p_w_m2_intersaison_nuit
268,165.86347029522327,81.97582679853308,125.63453570692083,64.91498423066712,117.37877858690001,63.5005831943113
271,108.59538388363805,60.65251424056227,76.09620543450539,45.95523216035163,79.30113104055089,46.51424397336081
273,59.85347123256907,43.82178102306365,48.38910798067884,26.725673475121233,48.91650879979675,40.64685768503956
274,99.08262423543039,40.9271627790824,69.0233426583052,32.526121604144684,66.45231526095657,32.152970943158984
281,98.63890568453735,64.74098555169664,78.7453850348281,51.140761696174835,75.90751441077973,56.54963736457915
282,129.23298693443408,60.87278752024592,102.18343836043891,58.464755482369654,87.79038309277097,47.08683318463947
284,118.42578799868059,40.27531048694178,81.04933535610168,31.856436964628333,63.72701507277618,29.877583012599114
287,141.8399929748573,58.18147594519196,102.15875858202872,40.69924822943533,96.34562392420267,44.005885727547934
288,42.14935777767714,22.572761589551178,39.242293868596605,22.29795949034795,32.99122059959789,24.807353862020943
289,86.46373210754048,44.162070088785725,69.12594784908065,37.29730450820755,71.03679351752942,40.41197343477653
295,86.63759155149447,54.932738509314476,74.70258046437081,43.82155656122039,59.24214474043839,42.06346501187073
301,74.34287336730958,47.59296045714445,79.5766431794856,42.07920050074689,60.74147927286172,43.180013670039
303,97.48711971523036,48.03178899927069,65.18661779971808,33.0175623392691,65.89217380877267,33.49424445126888
310,58.22124631761689,30.33287445574527,45.10440150547897,27.530617118586946,44.50052301740384,27.89308129633971
312,24.454984510927883,41.09725006468162,51.153387141626666,40.33716892621146,25.59201197413481,42.937679419766546
313,91.42710922621254,59.75756684928994,63.522727039897894,47.17083231678459,64.76602366316655,49.698009931425766
314,127.68766454658932,54.075866640971476,102.864975350748,50.815414862211426,93.76109445147571,49.74752369606448
316,94.048438909376,43.762789713690516,72.90207208133985,26.74129411121611,65.56563534338247,31.69945439662304
319,115.9717079119242,69.65799299591849,105.05145376214604,78.12376677487373,87.69076972362873,71.47416937360398
321,100.03687130212612,53.12324164746367,79.42389650072037,56.395327765388934,64.64536722140949,48.66401650028225
324,37.52720515108961,41.60011112551225,51.23092061191612,31.67956355937091,27.467922432577858,37.87273045097626
325,85.34216625190915,39.88808434464476,67.61496007489728,33.14792225539464,65.89491347338624,33.4389357958856
329,88.32747397782916,45.250301510770726,82.56093948227104,41.5335217817975,75.33345602911457,40.72852898794135
336,76.15918555630283,38.297793346876844,56.9598429896185,27.455451240043953,52.76899088797485,31.15022706721904
337,83.38131842641758,42.96359948646202,78.89566097284998,36.793425275301615,65.40691527105466,35.681601812012914
340,34.68411816482077,54.86025608761128,40.11126332571604,39.02299323716169,17.942267424757205,50.29450763834958
341,85.32918779448832,40.99815566255562,82.44611235347216,42.800915586155845,65.09482614568732,41.153942576192904
345,89.69998596652003,46.057816767066946,95.45732696012996,62.61475785079627,80.54612054096698,51.84898837173878
346,102.79577692015462,48.504191320353314,70.38135801915126,32.385509341656864,66.99165154700621,32.62459537079904
350,92.10570038937838,43.01028889084185,97.529262649726,42.568969892798165,72.3609030506874,36.55112381549732
351,58.52331093283332,27.627801967126885,44.172577261661914,22.075138305079527,41.51521967884153,21.103142811613225
352,105.479231490406,44.13317733359243,98.15604293632269,52.490728428188376,79.84084606321767,48.94511980954373
353,25.05879211718354,34.5274715759312,46.247325154748964,32.62684543936634,19.397602120337684,31.582481295492343
355,70.85088941674937,36.30772053067225,55.43389499524072,27.025653819811556,48.94513731124347,26.305288948534148
358,102.30065871497838,37.891250746803394,85.28461574068709,29.078245947231434,69.48854329082353,30.797634734688078
359,79.01625055460502,39.99697836701249,56.90482230560442,36.23228025355215,57.16269718065607,33.691944675562354
360,49.49466063157729,23.083057642786066,40.20930679669989,20.853455115113853,36.71877698034013,20.616804555157607
361,26.354010563593487,38.347487381696496,65.32570684841839,29.74957574508765,61.59287593701044,28.631367273131886
362,76.00292096314669,39.498618689384834,68.48884712761982,41.16481691172536,55.945407497127995,33.072165524914524
363,139.7210035840991,74.70197824847645,132.65700065417658,51.69594947886707,106.04732605108346,51.86384930561898
364,105.77980837025541,50.97520577802513,79.21960150606346,44.64440003376214,72.97446060960796,44.45284403024073
366,46.64698958852255,39.14858757518302,43.06594698124025,35.311379359358014,20.817037239779026,29.660308207366583
368,66.58639562684034,40.04356630066786,63.45878171768511,29.137468550865773,55.453555554044456,35.53849437994401
370,56.821807346642515,29.931518841739635,39.796906654269556,27.434962302441782,38.83187269448494,25.20056377003384
371,72.48976587605156,33.68365142352189,84.95287392519651,42.812503771136065,67.24069624007399,42.98940080569495
372,118.2004966006167,60.8003810485252,88.67771936832423,52.63262640450848,83.82157979110977,52.326125438084794
373,105.15904982230985,38.98818689376177,80.9854766954783,31.95174738926318,68.03709915503012,31.131210216597868
378,75.34612701382044,40.774735048498606,55.95313213717693,26.164564044389444,57.206533235461116,28.487964578030855
380,79.09756441090673,33.206714835920614,83.51780697159265,34.73266784510245,57.141671955658694,38.29332988619205
381,50.09016582027971,25.900452329102446,31.036153181984375,18.000913446555042,32.10822414258163,19.550001211988715
382,36.27047249061153,64.65767683969396,62.20605009618113,49.78840729674948,32.894706817453795,53.73249270009738
386,83.98435722113275,25.10713047193779,55.13509787027318,23.9965640167972,46.83943085550643,21.187350511184565
388,64.33092624071419,30.60168389929564,49.19620425301195,27.241056364553682,45.36831295120022,25.644329012501956
389,76.86352662130857,27.208438244497508,50.066399195411314,21.437831513663845,46.195743389309605,19.109275025121537
402,73.07324191404354,32.948215425060475,54.22353793863613,25.9873305733821,51.81730780001289,27.80020169798029
403,69.84929512016174,44.08243143835166,80.21428027115844,34.14323206948259,62.41157376492341,40.68111364704908
410,53.7636180457022,25.949262114525812,47.199042295075316,25.483421839829486,43.115492656293895,23.640465390598553
416,109.34890986780788,44.06310639453555,83.82866545177201,39.100916960252995,77.78169376598382,38.11616034696371
424,110.25831523929789,47.182430700285096,81.94721886950138,35.980206535200814,77.93188665265735,39.74033052620085
425,8.375696194149779,40.74672514587031,50.817493214573496,32.35376414699414,7.264907107714028,36.230631275155105
427,85.84317461942119,39.936189922249866,76.98856352712392,48.502062433144836,70.90675793779144,48.79098839710969
432,95.14685202428181,40.479662610581606,79.04721438973479,37.557819415434224,71.14439323059173,34.99556161978549
436,81.43667047276165,38.88573437318776,55.03959776757629,35.92038425563036,51.77674811972224,30.042549274278734
437,73.1984781865566,34.53525266232244,57.73956441801507,27.545438669384943,52.27829269815439,27.912770281967276
438,79.99527424499517,31.255950445811195,56.22905920820062,30.9193169908942,46.18231178717214,24.331593458167788
440,54.01929891398058,66.79287658913928,61.837050429397806,54.91918376206199,20.805360572388913,56.153773000275585
442,68.78173854066632,27.85203978052417,65.23986342501684,29.61479096116135,54.53429937135132,26.60398923026824
445,132.24888019807952,64.42260145774395,102.00942635704455,64.5077480941626,100.36944349733719,54.00514776933068
446,19.705212049487947,36.98802189448081,48.97524800800169,39.42205520080999,12.652035083227066,27.195169102120985
450,65.19902762572364,30.08827360475358,58.856008691106226,27.184371056421796,51.486788288560874,27.945883317871328
453,51.19968311680341,34.9437054179718,50.72849417384502,31.734795926243667,32.76829814418783,25.478080991531204
457,84.54869075474174,47.97997077598872,68.14900763539111,42.350037896457984,63.700248013627316,41.62111239907232
461,57.03198733850857,28.03322360985642,44.485284845224406,20.37751863621059,44.154041415891754,22.877916995885574
462,65.00256394558559,34.35169455394759,51.83049114203126,30.2584949569294,48.09021035746496,29.641814977998237
463,160.34258204655396,63.37336172398408,132.90929155980376,59.323271144449656,114.01889802781145,46.77176933246536
468,100.52919671169144,49.79450600610475,83.4594460039589,47.81371382635426,74.13533775428678,43.187967201626066
471,97.37243490137183,61.89585793541968,77.46088288171994,64.52742031086929,67.71341639236024,63.95718916136447
472,78.85511236577346,33.82582748441308,57.06357802706197,29.34431338585992,59.37006241378692,29.592154231262437
477,90.80711273080475,45.294781729158096,66.14349745075965,32.97654917547756,60.93677917911681,34.66998681742195
480,75.13667923574674,40.23011259533969,55.096637205515236,41.01706760871221,54.545600096698465,37.912644550078475
481,23.16976841176448,31.07752160734799,38.20570279590248,26.214621221429372,19.356186434481177,24.169074036033102
484,151.01240759796136,53.511697357608824,88.32604467678117,36.33469709950016,76.650932357113,36.555578152975414
487,62.92611951229415,26.407550507192433,49.215189752865854,19.63799627129961,48.61430502433087,20.82466361887348
488,87.23568769355425,46.00314793063679,67.15072185666473,35.94596005601894,61.32535298247126,33.57461382248568
489,60.59209365080483,32.878953234871105,59.66642615577645,34.59618915107391,48.8246171104456,31.672341223005645
502,59.64047317440044,30.454670644472763,50.63564219207637,25.66386935434622,48.466055942806555,26.154345496705705
503,19.177582659896434,58.637531498175804,64.57638022636733,52.66408159855449,21.391089871593124,51.27732049032956
512,14.028899295239308,49.43372604600306,53.193050013409454,44.627724875733556,16.323370195158745,40.933021690367724
514,111.5815425621524,61.6193404620234,93.89908199258547,47.1213262246443,89.05463858237323,56.36455931377654
516,73.9424645555851,29.801879588917064,61.292959650915705,30.0912498742593,55.806336949832406,27.350115721144128
517,31.331088426903637,31.63185301101607,45.29580543653738,30.022956730596928,17.483912840475604,25.560013558899193
518,98.20908922737385,48.32922492160729,87.02617093383849,45.95802978871864,75.99644178834414,45.213403553258914
521,79.25458733910422,37.02288214968714,59.05129723268643,29.80977042708685,56.81431409203676,30.647520657107577
524,72.95749089678651,37.029102647089495,47.046654039246405,30.189677073356762,49.071135469801945,38.455343167257496
526,113.19266087457925,51.53250943801427,92.3550962098237,55.21027641944055,77.4253713611902,50.86679307898679
528,63.63736214408463,36.843257484256455,91.27684030365975,58.7069824807013,59.74841671229458,53.922417304716035
530,149.4271345789517,76.80716377439575,88.19377882238918,56.0553707016548,82.89113850157736,50.07190934179462
533,90.54226571450984,42.20567827433133,78.35877099821475,46.97025505416698,67.45475538624268,41.889179683934714
534,13.71329381692672,37.51227422627512,40.03581673992455,44.73291361170886,8.595335088980594,35.37686078066998
537,125.45463173899982,65.76000982251426,98.62263603710713,70.37801728821526,88.1691693068361,62.273831354283956
540,133.3540573381367,61.48200222434343,92.81694333979476,55.46653949100386,68.3955575797617,37.301419280780046
542,85.68786016325403,42.80322891112216,63.79583550242489,38.792818550489365,63.81091845947744,38.52063774682955
545,109.61030963854888,45.200581572867215,102.0627090233948,35.26252296616042,82.604138669876,35.975245607010784
547,11.77393897637641,44.660644493239495,78.32724313621418,34.17141443337234,57.85646163510232,33.79357218294605
550,82.86703444713876,37.83797649293034,77.86233030861409,32.84646416886818,60.08911512505826,33.09590057502495
551,16.584397771793146,31.468301925436656,45.52899984263717,42.44805970021914,13.45659168584748,34.03313030099101
557,54.81952036402693,25.44963546620419,48.99236380031636,30.74097891811032,42.696935789275784,27.290223260617942
559,80.439294605488,36.8444690247281,73.41690079725194,33.09041472459627,68.56060837331212,33.58994647067209
560,107.06264154211496,46.615391486018986,84.08808780694058,50.8021411742592,75.14174194426477,38.80408983019623
562,62.152352263584405,30.702247504353956,54.64031947057942,29.74189249606715,46.588581130487285,27.624182450858843
564,83.65862877701424,40.91686787774244,66.91372179417088,33.51067270336293,57.081770303139415,31.189666042534473
565,142.12077758061258,73.44425519830148,162.72262893543729,96.73581622574694,106.90661684902372,75.90351442614075
571,115.03787609943984,45.78666876410223,98.23136308316343,44.50425505131333,87.74699345707907,50.496329478895376
572,43.03272349943059,35.334883475407615,62.871011925752356,35.853036879261126,25.240413891743195,32.86784735549844
576,91.13484105114264,38.85437786261309,78.46284743055068,34.40882236773574,71.59446807846491,32.42192443567993
577,86.09336781601844,43.43274486785556,81.09189384605271,51.72564493491852,78.27828392279835,53.71629887732361
580,83.95018420769654,47.05728672106305,85.65854006297148,43.20974936900503,67.07075646011155,38.423865053862485
584,141.50010183326677,52.19910982502522,70.58520309418698,35.8267274119957,68.59916065022806,35.780003419693514
586,74.01674407568711,50.6048525976529,84.33810349622692,54.387427951977685,54.39078694986343,53.39444000474112
594,86.68201797888027,43.36960046484478,69.30804332696025,36.543318584383314,65.67893468503242,39.66759339049741
602,48.141250812091194,22.437953894287578,34.38179925313681,18.5515774108807,33.28714104506727,17.56768444689553
616,84.00552994148572,33.55241248098272,68.81208256099126,37.19723502998775,58.945084085588555,33.247953084519736
617,116.56770002895244,51.05618445463404,90.53254965372395,39.561172958735746,87.17625761078673,42.033979880982805
624,19.27706400584422,33.7916046478695,38.557070971435884,31.37241365314953,20.20216955871883,31.21715275054445
627,131.44117497948272,69.90326634595316,184.53000893956136,66.33855069506691,126.01083295727925,68.67872254905623
629,118.60846420476489,54.44718536453441,107.63627464926816,53.543012911030615,90.97243465051629,47.87321560310834
